# v_1=1.00000e-1800 epsilon=1.00000e-10 N=103920.0
0.0 1.0 0.0
0.013114938338 0.9999513804969645 1.988330409535159e-06
0.06943558629 0.9989159314239263 2.1156694148799115e-05
0.11906432568 0.997004963163275 4.544427426775507e-05
0.16438807741 0.9943120056452259 7.289473007141094e-05
0.20679099205 0.9913353951007156 9.8680426599305e-05
0.24715349645 0.9875528574343899 0.00012765352825442851
0.28607441769 0.9838095837069584 0.00015425089263206137
0.323982564 0.9789242329127097 0.0001854983589738634
0.3611979553 0.9740029999970499 0.00021491543036794797
0.3979677814 0.9685813839746777 0.00024477005414551495
0.434488687 0.9628990467446914 0.00027358467774074607
0.4709212074 0.9571961685522344 0.0003022806294841953
0.5073994692 0.9502450583828657 0.00033286554716334643
0.5440379198 0.9435243963012612 0.0003629125499936278
0.5809361249 0.9366701016190596 0.00039247407412357004
0.6181822745 0.9283250183600182 0.0004239121836311056
0.655855802 0.9201603625007274 0.0004548216996345382
0.6940293813 0.9112774713076194 0.00048744696919034494
0.7327704795 0.9017210776440514 0.000519285669604985
0.7721425867 0.8928795041839225 0.0005461529335392542
0.8122062076 0.8814345834023607 0.0005805577983853661
0.8530196766 0.8706654313136218 0.0006106303858928282
0.8946398387 0.8590836877999188 0.0006420324740005882
0.9371226298 0.8479794381759037 0.0006715799245076027
0.9805235809 0.8344398335940375 0.000703705789892629
1.0248982634 0.821929830033729 0.0007325459778811938
1.0703026911 0.8085277124324823 0.0007609448946285207
1.1167936904 0.7936802375350656 0.0007900055517814621
1.1644292458 0.7792858761256988 0.0008184670975532975
1.2132688311 0.7618571213174483 0.0008465209392620943
1.2633737295 0.7473861285717828 0.0008716050223895203
1.3148073507 0.7312989764121254 0.0008961875508786297
1.3676355476 0.7144056748251226 0.0009234139483964638
1.4219269381 0.6936812084224273 0.000944998882137073
1.4777532359 0.6769156854479801 0.0009662525477078447
1.5351895937 0.6579935238640137 0.0009895434474064095
1.5943149629 0.6386905653500774 0.0010073773875382773
1.655212474 0.6185731007844969 0.0010266249297305632
1.7179698412 0.5978492454275995 0.0010384651322191405
1.7826797957 0.573798953548364 0.0010527486898916976
1.8494405524 0.5534132256756885 0.0010636385373594282
1.9183563142 0.5303630891658766 0.001070762865034797
1.9895378209 0.5069775059481988 0.0010820517432764674
2.0631029465 0.4856268612896865 0.0010816636323614283
2.1391773544 0.46238067138766964 0.001082709212805999
2.2178952147 0.43826952580761774 0.0010857024330378543
2.2993999961 0.4136167969574413 0.0010745907732366965
2.3838453381 0.39126135962403447 0.0010679531282233802
2.4713960179 0.36570810420254385 0.0010549912202972567
2.5622290229 0.34180490871560304 0.0010392737966746853
2.6565347438 0.31803169439343526 0.0010221266776857807
2.7545183052 0.29615186057928083 0.0010038699113227164
2.8564010536 0.2732515506298684 0.0009782510037022686
2.9624222248 0.24885556432866895 0.0009469097149478418
3.0728408171 0.22756676782518204 0.0009190913708055069
3.187937702 0.20550251910279696 0.0008818641329808303
3.308018007 0.18482809563875985 0.0008473069590440435
3.433413816 0.16324086519342218 0.0008010722615152464
3.564487231 0.14605975034979904 0.0007669135289673367
3.701633865 0.127842037700243 0.0007205423046527415
3.845286826 0.11139533235539963 0.0006758301234334641
3.995921283 0.09405284650629465 0.0006197126075214594
4.154059717 0.0811435319458752 0.0005788517453542333
4.32027797 0.06733264458941325 0.0005271803090282136
4.495212254 0.056695654801648884 0.00048343292353742774
4.679567281 0.0451942627773954 0.00042903389156985695
4.874125753 0.036476067491699536 0.00038311596480942686
5.079759469 0.028275083978013427 0.0003353339565280798
5.297442381 0.022443451884556886 0.00029645144791577563
5.528266017 0.016865953014340414 0.00025610301050246753
5.773457789 0.012318946369059823 0.00021338516949379605
6.034402818 0.008694808904699786 0.0001766740259341692
6.31267012 0.006186419912831906 0.00014738839889326098
6.610044173 0.004020854846061278 0.00011734481448079023
6.928563228 0.0026648657089674193 9.457444510852464e-05
7.270566089 0.0016008990405162716 6.967513442471005e-05
7.638749637 0.0009248638509941527 5.2792945002373864e-05
8.03624009 0.0005530434082933065 4.0374854045623186e-05
8.466681991 0.00030618930634893597 3.155312882602648e-05
8.934350278 0.00013053092240353735 1.8570461879942194e-05
9.444292747 3.952343976959793e-05 5.356642407689199e-06
10.002512983 3.327461440517249e-05 1.0215027493002373e-05
10.616207826 4.992142237476061e-06 1.5158924578062551e-06
11.294079332 2.568194768111693e-06 1.0365268068746072e-06
12.046750014 3.04303107198574e-07 1.0389286573880248e-07
12.887323559 3.878355785251809e-08 1.5144444462178097e-08
13.832154197 3.020655564023451e-09 1.052302157171951e-09
14.901921268 2.7052531572171e-10 1.0259576188873019e-10
