# v_1=1.0000000000e-1400 epsilon=1.0000000000e-14 N=210000.0
0.0 1.0 0.0
0.0141919 0.999919867536 1.85561737793e-06
0.0289971 0.99970271924 5.07582272221e-06
0.0423893 0.999392380888 8.7990903004e-06
0.0548265 0.999023372921 1.26178280731e-05
0.0665945 0.998584125831 1.65454261398e-05
0.077885 0.998048672492 2.1215699027e-05
0.0888333 0.997441314259 2.57872656934e-05
0.0995395 0.996832610895 3.01682532831e-05
0.11008 0.996179413422 3.46092330526e-05
0.120515 0.99544346174 3.95775055826e-05
0.130894 0.994590906506 4.46499879511e-05
0.141256 0.993860806862 4.91439424401e-05
0.151636 0.992972433162 5.43348231459e-05
0.162064 0.991884012737 6.04608521505e-05
0.172564 0.990779602901 6.60549810566e-05
0.18316 0.989774966951 7.11200772937e-05
0.193873 0.98855781651 7.74459786224e-05
0.204722 0.987248664647 8.35412726292e-05
0.215724 0.985897475351 8.99028978849e-05
0.226897 0.98443972938 9.62125431767e-05
0.238256 0.982823443178 0.000103384903755
0.249816 0.981249483055 0.000109805170149
0.261593 0.979582935604 0.000116975508573
0.273601 0.977937850042 0.000124011894953
0.285855 0.975992341778 0.000131428980908
0.29837 0.973838720726 0.000139717717484
0.311159 0.971621227572 0.00014767863546
0.324239 0.968953043212 0.000156798843538
0.337623 0.966966541187 0.00016412826791
0.351327 0.964182098098 0.000173487121698
0.365368 0.961324423124 0.000182859151418
0.379761 0.958427748125 0.000192589097533
0.394523 0.955316993668 0.000202250112054
0.409672 0.951827318801 0.000212855600278
0.425225 0.948656084087 0.000222023314998
0.441203 0.94488823233 0.000233081490831
0.457624 0.940925762863 0.000244148977729
0.47451 0.937218439502 0.000253723639622
0.491883 0.93294518388 0.000265608970522
0.509766 0.927881204831 0.000278531646217
0.528182 0.922228905229 0.000292299447848
0.547159 0.917674067011 0.000303063459856
0.566723 0.912178459834 0.000315706132702
0.586903 0.906852099524 0.000328327905042
0.60773 0.900615031859 0.000341739938415
0.629236 0.89384086756 0.000355940350445
0.651457 0.887994642941 0.000368741908567
0.674429 0.880621888091 0.000382870831708
0.698191 0.872751551546 0.000397808890534
0.722787 0.864513658691 0.000413050627116
0.748262 0.856306222977 0.000427650336559
0.774663 0.84809482832 0.000442166399289
0.802043 0.836648495284 0.000459744717225
0.830458 0.827854716163 0.000474088526312
0.859968 0.816735459756 0.000491828682196
0.890639 0.806876934073 0.000506415935337
0.92254 0.794124733893 0.000523619198267
0.955748 0.782273956017 0.000538679748495
0.990344 0.76883089737 0.000555191188127
1.02642 0.755122558224 0.000571521886622
1.06407 0.74042484412 0.000587184417453
1.1034 0.724388048928 0.000602993132086
1.14453 0.70893231299 0.000618486476014
1.18758 0.691355787392 0.000633197489461
1.23269 0.673894629049 0.000648128478417
1.28001 0.654735811919 0.00066179169707
1.32971 0.635596251918 0.000675253089576
1.38198 0.613721384735 0.000686497783522
1.43701 0.592792824093 0.000697662480316
1.49504 0.569792190067 0.000708697524742
1.55631 0.54644839551 0.000715241877295
1.62111 0.521305621584 0.000721725071752
1.68974 0.49644587454 0.000724658045636
1.76257 0.470406272581 0.000728168121137
1.83998 0.441731845494 0.000724993082154
1.92242 0.413233312517 0.000722590005307
2.01041 0.385406219916 0.000717766457111
2.10451 0.35370403806 0.000705798924525
2.2054 0.322494179298 0.00069010275113
2.31382 0.293768110523 0.000673783204495
2.43066 0.262685823953 0.000651427859083
2.55694 0.231956712588 0.000622612381248
2.69385 0.201345932473 0.000589709101719
2.8428 0.172990760422 0.00055441847403
3.00543 0.145015773997 0.000513008400511
3.18374 0.119134945787 0.000469930974775
3.38009 0.0945662965868 0.000420028213159
3.59738 0.0733011949374 0.0003694077513
3.83914 0.0540079686055 0.000318045795628
4.10976 0.0379601353347 0.000262312612432
4.41472 0.0254899981623 0.00021357412023
