# v_1=1.00000e-1500 epsilon=1.00000e-8 N=10000.0
0.0 1.0 0.0
0.6564764823 0.945864829628 0.00123663389711
0.8156034475 0.91695575865 0.00184406033069
0.9202856349 0.89742336846 0.00185911352341
1.0051877159 0.88032184933 0.00200098919619
1.0803342355 0.861331291234 0.00217941920375
1.1500891457 0.847271874059 0.00231825659614
1.2167702057 0.832116590058 0.00246342969362
1.2817689165 0.812230038847 0.00259278210245
1.3459948623 0.804912825729 0.00263810264928
1.4100818793 0.78643370362 0.00276242593365
1.4744948632 0.763520215482 0.00291794562664
1.5395898872 0.74823345402 0.00299265737691
1.6056503289 0.727947618805 0.00308590667017
1.672909772 0.71564058153 0.00313775590347
1.7415671892 0.693633613847 0.00322683987131
1.8117974043 0.669860611344 0.003336204689
1.8837585493 0.652720408488 0.00337420058307
1.9575975446 0.632556073011 0.00345015260056
2.0334542428 0.616814579937 0.00350385476086
2.1114646484 0.592828993924 0.00353224595494
2.1917634906 0.568640051389 0.00359586062691
2.2744863357 0.551238624694 0.00359559384916
2.3597713755 0.525889917229 0.0036526636395
2.4477609875 0.502113721516 0.0036637416087
2.5386031397 0.475733991477 0.00366955590638
2.632452698 0.456016255596 0.00368894918081
2.7294726782 0.427614833741 0.00367881796188
2.8298354822 0.397491942445 0.00361515397081
2.9337241481 0.381406538492 0.00362916628757
3.0413336432 0.348504287747 0.00365566001662
3.152872225 0.333222109034 0.00351144193938
3.268562897 0.302457960297 0.00340345865757
3.388644985 0.285439887675 0.00336769253205
3.513375854 0.258842669757 0.00327223048994
3.643032807 0.238118555326 0.00316799747448
3.777915184 0.226849216717 0.00311995287128
3.918346699 0.197553311313 0.00295928940956
4.064678064 0.176813553256 0.0028193888023
4.217289933 0.154811110233 0.00266168438349
4.37659622 0.139594166466 0.00253899067671
4.543047866 0.120243036356 0.00239057258958
4.717137107 0.101232312263 0.00218179594395
4.899402347 0.0893138711549 0.0020830526758
5.09043372 0.0755354760132 0.00190924454588
5.290879486 0.0601820313371 0.00169500038701
5.501453375 0.0546351902805 0.00177613656346
5.722943087 0.0433536522843 0.00144574958904
5.956220138 0.0342256114269 0.00126628626931
6.202251323 0.0236517769365 0.00102150318504
6.462112109 0.0205625630668 0.000975463144471
6.737002356 0.014689037729 0.000814731811788
7.028264835 0.0119864078901 0.000723148551424
7.337407171 0.00745116603608 0.000585151559185
7.66612794 0.00582152860552 0.000502325106954
8.016347897 0.00315709549418 0.000350261836942
8.390247529 0.00262334835616 0.000347274042506
8.790312501 0.000961289987824 0.000162257551263
9.21938898 0.000760351229025 0.000150422270686
9.680751451 0.000424041170838 0.000103663337767
10.178186443 0.000249570446667 0.000107876714232
10.716096687 9.85171854884e-05 3.87849848145e-05
11.299631779 2.80398562172e-05 1.73200247085e-05
11.934853568 3.52274603553e-05 3.14429440108e-05
12.628947522 1.4952361454e-06 5.85580177752e-07
13.390495722 7.3955354835e-07 4.39855653168e-07
14.22983351 5.54461731257e-08 2.29436174186e-08
15.15952131 3.06274727224e-08 2.45093394895e-08
16.194977485 3.28685786498e-08 3.17246395965e-08
17.355340219 2.82924259113e-10 2.65940852805e-10
18.664661314 8.51088646442e-13 6.91157225859e-13
20.153591291 1.48200650264e-10 1.48080634666e-10
21.861809007 4.57462807546e-15 4.55942113674e-15
23.841610118 1.11571436337e-19 5.64490533488e-20
26.163354891 9.43523544019e-23 7.01141597239e-23
28.924005605 1.19736103117e-25 1.10629183688e-25
32.26101113 2.22647065508e-30 2.12649835851e-30
